userID,rating,food_rating,service_rating
U1077,1.4,1.8,1.6
U1068,0.625,0.625,0.625
U1067,1,0.833333333,1
U1103,1.125,1.5,1.375
U1107,2,2,1.666666667
U1044,1.4,1.6,1.4
U1070,1.333333333,1.333333333,0.666666667
U1031,0,0,0
U1082,0.111111111,0.111111111,0.111111111
U1023,0.5,0.5,0.5
U1060,1.75,1.75,1.75
U1015,0.75,0.875,1.125
U1123,1.125,1.75,1
U1021,2,2,1.333333333
U1026,1,1.4,1
U1083,1.444444444,1.666666667,1.555555556
U1108,1.4,1.6,1.2
U1012,1.8,1.8,2
U1093,1.875,1.875,1.5
U1030,0.625,0.5,0.625
U1066,1.2,1.6,1.2
U1127,2,1.25,1.75
U1017,1,0.666666667,1
U1100,2,1.5,1.166666667
U1133,1.222222222,1.444444444,1
U1118,0.285714286,0,0
U1072,0.75,1,1
U1080,1.333333333,1.333333333,1.333333333
U1063,1.4,1.4,1.2
U1074,2,1.666666667,2
U1117,1,1.166666667,1.333333333
U1020,1.5,1.75,1
U1051,1,1.25,1.25
U1055,1.9,2,2
U1053,1.769230769,1.538461538,1.230769231
U1035,1.666666667,1.333333333,1.833333333
U1064,1,0.6,1.4
U1081,0.545454545,0.909090909,1.090909091
U1001,1.111111111,1.222222222,1.222222222
U1014,1.363636364,1,1.090909091
U1088,1.416666667,1.75,1.75
U1056,1.8,1.8,1.8
U1134,1.4375,1.1875,1.1875
U1106,1.388888889,1.111111111,0.888888889
U1126,1.2,1,0.9
U1124,0.9,0.9,0.8
U1018,0.8,0.8,0.9
U1125,1.090909091,1.090909091,1.272727273
U1119,1.6,1.6,1.6
U1076,1.4,1.6,1.4
U1022,1.285714286,1.214285714,1.428571429
U1094,0,0.75,0.125
U1116,1.363636364,1.818181818,1.818181818
U1105,0,0,0
U1075,1.416666667,1.333333333,0.916666667
U1007,0.888888889,1.111111111,0.666666667
U1115,1.375,1.375,1.625
U1024,1.2,1.333333333,0.8
U1132,1.6,1.3,1.3
U1005,1.333333333,1.444444444,1
U1120,1.111111111,1.111111111,1.222222222
U1004,1.875,1.875,1.75
U1037,1.090909091,1,0.818181818
U1052,1.5,1.25,1.25
U1036,1.75,1.833333333,1.75
U1038,0.8,1.6,1.6
U1071,1.846153846,1.846153846,1.923076923
U1114,0.181818182,0.272727273,0.181818182
U1084,1.8,1.6,1.9
U1049,0,0,0
U1019,0,0,0
U1069,0.111111111,0.222222222,0
U1113,0.875,1.375,0.5
U1104,1.25,1.333333333,1.166666667
U1079,1.5,1.75,1.25
U1045,1.2,1.4,1.3
U1009,1.363636364,1.272727273,1.090909091
U1016,1.923076923,2,1.692307692
U1047,0,0,0
U1095,1.5,1.8,1.7
U1034,0.5,0.333333333,0.5
U1078,1.428571429,1.571428571,1.571428571
U1099,1.090909091,1.181818182,1.090909091
U1008,1.111111111,1.222222222,0.888888889
U1040,1.25,1.5,1.25
U1121,1.5,1.5,1.5
U1110,1.75,2,1.75
U1042,1.6,2,1.2
U1013,1.5,1.5,0.7
U1054,1.909090909,1.727272727,1.272727273
U1111,1.181818182,0.909090909,0.636363636
U1128,0,0,0
U1062,0,0,0
U1101,1.3,0.8,0.9
U1135,0,0,0
U1032,1,1,0.3
U1048,1.571428571,1.571428571,1.285714286
U1092,0.833333333,0.333333333,0.333333333
U1085,1.4,1.6,1.5
U1109,1.8,1.8,1.8
U1102,2,2,0.8
U1098,1.333333333,1.5,1.083333333
U1046,1.333333333,1.444444444,1.333333333
U1122,1.916666667,1.416666667,1.583333333
U1138,1.666666667,2,1.333333333
U1033,1.727272727,1,0.909090909
U1089,0.857142857,0.857142857,0.857142857
U1003,1.615384615,1.692307692,1.461538462
U1091,1.111111111,1.444444444,1.444444444
U1027,0.909090909,0.909090909,0.909090909
U1029,0.9,0.9,0.7
U1086,1.555555556,1.111111111,1.333333333
U1137,1.857142857,1.785714286,1.928571429
U1090,1.8,1.9,1.9
U1061,1.611111111,1.833333333,1.666666667
U1041,1.666666667,1.833333333,1.5
U1059,1.6,1.3,1.2
U1112,0.384615385,0.230769231,0.461538462
U1057,0.909090909,0.545454545,0.454545455
U1025,1.545454545,1.181818182,1.181818182
U1097,1.769230769,1.230769231,0.923076923
U1006,1.363636364,1.181818182,1.636363636
U1131,1.166666667,1.666666667,1.166666667
U1073,0,0,0
U1058,1.6,1.5,1.2
U1002,1.4,1.4,1
U1096,1.454545455,1.727272727,1.545454545
U1136,1.6,1.7,1.8
U1010,0.875,1.125,0.875
U1028,1,1.142857143,1
U1050,0,1,0.142857143
U1129,0.25,0.5,0.75
U1087,1.25,1.875,0.875
U1065,1.2,0.8,1.2
U1039,1.333333333,1.333333333,1.666666667
U1130,0.25,0.5,0.25
U1043,1,1.2,1
U1011,1.333333333,1.333333333,0.666666667
